dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1930-11-01,26.418,0.479,Acre,Brazil
1930-12-01,26.666,0.57,Acre,Brazil
1931-01-01,26.178,0.751,Acre,Brazil
1931-02-01,26.623,0.52,Acre,Brazil
1931-03-01,26.365,0.397,Acre,Brazil
1931-04-01,26.076,0.434,Acre,Brazil
1931-05-01,24.407,1.469,Acre,Brazil
1931-06-01,23.809,1.795,Acre,Brazil
1931-07-01,24.546,1.197,Acre,Brazil
1931-08-01,25.16,1.351,Acre,Brazil
1931-09-01,26.4,0.615,Acre,Brazil
1931-10-01,26.383,0.423,Acre,Brazil
1931-11-01,26.142,0.538,Acre,Brazil
1931-12-01,25.76,0.439,Acre,Brazil
1932-01-01,25.824,0.468,Acre,Brazil
1932-02-01,25.86,0.485,Acre,Brazil
1932-03-01,25.584,0.378,Acre,Brazil
1932-04-01,25.977,0.598,Acre,Brazil
1932-05-01,25.223,0.665,Acre,Brazil
1932-06-01,24.293,0.767,Acre,Brazil
1932-07-01,24.826,1.071,Acre,Brazil
1932-08-01,25.524,0.499,Acre,Brazil
1932-09-01,26.033,0.735,Acre,Brazil
1932-10-01,26.266,0.349,Acre,Brazil
1932-11-01,26.515,0.362,Acre,Brazil
1932-12-01,26.089,0.363,Acre,Brazil
1933-01-01,26.259,0.478,Acre,Brazil
1933-02-01,26.147,0.601,Acre,Brazil
1933-03-01,26.202,0.496,Acre,Brazil
1933-04-01,26.253,0.325,Acre,Brazil
1933-05-01,25.638,0.399,Acre,Brazil
1933-06-01,24.599,0.493,Acre,Brazil
1933-07-01,24.23,0.462,Acre,Brazil
1933-08-01,25.448,0.625,Acre,Brazil
1933-09-01,26.999,0.546,Acre,Brazil
1933-10-01,26,0.389,Acre,Brazil
1933-11-01,26.077,0.548,Acre,Brazil
1933-12-01,26.061,0.671,Acre,Brazil
1934-01-01,25.234,0.444,Acre,Brazil
1934-02-01,25.214,0.733,Acre,Brazil
1934-03-01,25.467,0.336,Acre,Brazil
1934-04-01,25.244,0.651,Acre,Brazil
1934-05-01,25.256,0.525,Acre,Brazil
1934-06-01,25.203,0.427,Acre,Brazil
1934-07-01,24.847,0.701,Acre,Brazil
1934-08-01,26.069,1.625,Acre,Brazil
1934-09-01,26.161,0.596,Acre,Brazil
1934-10-01,26.267,0.596,Acre,Brazil
